Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
12 Tabaco;Total Nacional;09 Cataluña;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022-01-01 00:00:00+00:00;1675
12 Tabaco;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021-01-01 00:00:00+00:00;2162
12 Tabaco;Total Nacional;10 Comunitat Valenciana;porcentaje;2022-01-01 00:00:00+00:00;0.6
12 Tabaco;Total Nacional;10 Comunitat Valenciana;porcentaje;2021-01-01 00:00:00+00:00;0.8
12 Tabaco;Total Nacional;11 Extremadura;valor absoluto;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;11 Extremadura;valor absoluto;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;11 Extremadura;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;11 Extremadura;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;12 Galicia;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;12 Galicia;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;12 Galicia;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;12 Galicia;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;valor absoluto;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;valor absoluto;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;14 Murcia Región de;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;14 Murcia Región de;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;14 Murcia Región de;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;14 Murcia Región de;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;16 País Vasco;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;16 País Vasco;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;16 País Vasco;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;16 País Vasco;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;17 Rioja La;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;17 Rioja La;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;17 Rioja La;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;17 Rioja La;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;18 Ceuta;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;18 Ceuta;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;18 Ceuta;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;18 Ceuta;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;19 Melilla;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;19 Melilla;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;19 Melilla;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;19 Melilla;porcentaje;2021-01-01 00:00:00+00:00;0.0
13 Textil;Total Nacional;;valor absoluto;2022-01-01 00:00:00+00:00;4821465
13 Textil;Total Nacional;;valor absoluto;2021-01-01 00:00:00+00:00;4365882
13 Textil;Total Nacional;;porcentaje;2022-01-01 00:00:00+00:00;100.0
13 Textil;Total Nacional;;porcentaje;2021-01-01 00:00:00+00:00;100.0
13 Textil;Total Nacional;01 Andalucía;valor absoluto;2022-01-01 00:00:00+00:00;236502
13 Textil;Total Nacional;01 Andalucía;valor absoluto;2021-01-01 00:00:00+00:00;205414
13 Textil;Total Nacional;01 Andalucía;porcentaje;2022-01-01 00:00:00+00:00;4.9
13 Textil;Total Nacional;01 Andalucía;porcentaje;2021-01-01 00:00:00+00:00;4.7
13 Textil;Total Nacional;02 Aragón;valor absoluto;2022-01-01 00:00:00+00:00;77427
13 Textil;Total Nacional;02 Aragón;valor absoluto;2021-01-01 00:00:00+00:00;55502
13 Textil;Total Nacional;02 Aragón;porcentaje;2022-01-01 00:00:00+00:00;1.6
13 Textil;Total Nacional;02 Aragón;porcentaje;2021-01-01 00:00:00+00:00;1.3
13 Textil;Total Nacional;03 Asturias Principado de;valor absoluto;2022-01-01 00:00:00+00:00;0.0
13 Textil;Total Nacional;03 Asturias Principado de;valor absoluto;2021-01-01 00:00:00+00:00;1312
13 Textil;Total Nacional;03 Asturias Principado de;porcentaje;2022-01-01 00:00:00+00:00;0.0
13 Textil;Total Nacional;03 Asturias Principado de;porcentaje;2021-01-01 00:00:00+00:00;0.0
13 Textil;Total Nacional;04 Balears Illes;valor absoluto;2022-01-01 00:00:00+00:00;17562
13 Textil;Total Nacional;04 Balears Illes;valor absoluto;2021-01-01 00:00:00+00:00;17649
13 Textil;Total Nacional;04 Balears Illes;porcentaje;2022-01-01 00:00:00+00:00;0.4
13 Textil;Total Nacional;04 Balears Illes;porcentaje;2021-01-01 00:00:00+00:00;0.4
13 Textil;Total Nacional;05 Canarias;valor absoluto;2022-01-01 00:00:00+00:00;0.0
